"Product_Name","Variant_Size","Price_INR","Available","Category"
"Cashew - Pepper Garlic","1kg","1740.00","True",""
"Cashew - Pepper Garlic","250g","435.00","True",""
"Cashew - Pepper Garlic","500g","870.00","True",""
"Cashew - Roasted And Salted","1kg","1690.00","True",""
"Cashew - Roasted And Salted","250g","422.50","True",""
"Cashew - Roasted And Salted","500g","845.00","True",""
"Cashew - Split","1kg","1460.00","True",""
"Cashew - Split","250g","365.00","True",""
"Cashew - Split","500g","730.00","True",""
"Cashew 180","1kg","1750.00","True",""
"Cashew 180","250g","437.50","True",""
"Cashew 180","500g","875.00","True",""
"Cashew 240","1kg","1590.00","True",""
"Cashew 240","250g","397.50","True",""
"Cashew 240","500g","795.00","True",""
"Cashew Borma - Premium","1kg","1480.00","True",""
"Cashew Borma - Premium","250g","370.00","True",""
"Cashew Borma - Premium","500g","740.00","True",""
"Cashew- Chilli Garlic","1kg","1740.00","True",""
"Cashew- Chilli Garlic","250g","435.00","True",""
"Cashew- Chilli Garlic","500g","870.00","True",""
"Cashew Nut Butter","250g / Honey","470.00","True",""
"Cashew Nut Butter","250g / Jaggery","460.00","True",""
"Cashew Nut Butter","250g / Unsweetened","440.00","True",""
"Cashew Peanut Chikki","1kg","720.00","True",""
"Cashew Peanut Chikki","250g","180.00","True",""
"Cashew Peanut Chikki","500g","360.00","True",""
"Cassia Cinnamon","1kg","580.00","True",""
"Cassia Cinnamon","250g","145.00","True",""
"Cassia Cinnamon","500g","290.00","True",""
"Chammanthi Podi","1kg","1200.00","True",""
"Chammanthi Podi","250g","300.00","True",""
"Chammanthi Podi","500g","600.00","True",""
"Chia Seeds","1kg","750.00","True",""
"Chia Seeds","250g","187.50","True",""
"Chia Seeds","500g","375.00","True",""
"Chilli Chocolate","Default Title","230.00","True",""
"Chocolate Muesli","1kg","750.00","True",""
"Chocolate Muesli","250g","187.50","True",""
"Chocolate Muesli","500g","375.00","True",""
"Cinnamon Roll (Churul Patta, Indonesia)","100g - Masala","120.00","True",""
"Cinnamon Roll (Churul Patta, Indonesia)","150g - Masala","180.00","True",""
"Cinnamon Roll (Churul Patta, Indonesia)","1kg","1265.00","True",""
"Cinnamon Roll (Churul Patta, Indonesia)","200g - Masala","240.00","True",""
"Cinnamon Roll (Churul Patta, Indonesia)","250g","316.25","True",""
"Cinnamon Roll (Churul Patta, Indonesia)","250g - Masala","300.00","True",""
"Cinnamon Roll (Churul Patta, Indonesia)","500g","632.50","True",""
"Cinnamon Roll (Churul Patta, Indonesia)","50g - Masala","60.00","True",""
"Cloth Loofah","Default Title","35.00","True",""
"Cloves","100g - Masala","170.00","True",""
"Cloves","150g - Masala","255.00","True",""
"Cloves","1kg","1800.00","True",""
"Cloves","200g - Masala","340.00","True",""
"Cloves","250g","450.00","True",""
"Cloves","250g - Masala","425.00","True",""
"Cloves","500g","900.00","True",""
"Cloves","50g - Masala","85.00","True",""
"Cocoa Powder","1kg","2400.00","True",""
"Cocoa Powder","250g","600.00","True",""
"Cocoa Powder","500g","1200.00","True",""
"Cocoa Tea","1kg","1350.00","False",""
"Cocoa Tea","250g","337.50","True",""
"Cocoa Tea","500g","675.00","False",""
"Coconut Oil","460g","380.00","True",""
"Coconut Oil","910g","720.00","True",""
"Coconut Sugar","1kg","650.00","True",""
"Coconut Sugar","250g","162.50","True",""
"Coconut Sugar","500g","325.00","True",""
"Coffee Chocolate","Default Title","235.00","True",""
"Copper Tongue Cleaner","Default Title","150.00","True",""
"Coriander","100g - Masala","45.00","True",""
"Coriander","150g - Masala","67.50","True",""
"Coriander","1kg","450.00","True",""
"Coriander","200g - Masala","90.00","True",""
"Coriander","250g","112.50","True",""
"Coriander","250g - Masala","112.50","True",""
"Coriander","500g","225.00","True",""
"Coriander","50g - Masala","22.50","True",""
"Corn/ Maize","1kg","110.00","True",""
"Corn/ Maize","250g","27.50","True",""
"Corn/ Maize","500g","55.00","True",""
"Cow Ghee","280g","410.00","True",""
"Cow Ghee","600g","795.00","True",""
"Cow Ghee","900g","1170.00","True",""
"Cucumber Seeds","1kg","1650.00","True",""
"Cucumber Seeds","250g","412.50","True",""
"Cucumber Seeds","500g","825.00","True",""
"Cumin (Jeerakam)","100g - Masala","69.00","True",""
"Cumin (Jeerakam)","125g - Masala","86.25","True",""
"Cumin (Jeerakam)","150g - Masala","103.50","True",""
"Cumin (Jeerakam)","175g - Masala","120.75","True",""
"Cumin (Jeerakam)","1kg","770.00","True",""
"Cumin (Jeerakam)","200g - Masala","138.00","True",""
"Cumin (Jeerakam)","225g - Masala","155.25","True",""
"Cumin (Jeerakam)","250g","192.50","True",""
"Cumin (Jeerakam)","250g - Masala","172.50","True",""
"Cumin (Jeerakam)","25g - Masala","19.25","True",""
"Cumin (Jeerakam)","500g","385.00","True",""
"Cumin (Jeerakam)","50g - Masala","38.50","True",""
"Cumin (Jeerakam)","75g - Masala","57.75","True",""
"Custom Masala Blend","100","100.00","True",""
"Custom Masala Blend","1000","1000.00","True",""
"Custom Masala Blend","1050","1050.00","True",""
"Custom Masala Blend","1100","1100.00","True",""
"Custom Masala Blend","1150","1150.00","True",""
"Custom Masala Blend","1200","1200.00","True",""
"Custom Masala Blend","1250","1250.00","True",""
"Custom Masala Blend","1300","1300.00","True",""
"Custom Masala Blend","1350","1350.00","True",""
"Custom Masala Blend","1400","1400.00","True",""
"Custom Masala Blend","1450","1450.00","True",""
"Custom Masala Blend","150","150.00","True",""
"Custom Masala Blend","1500","1500.00","True",""
"Custom Masala Blend","1550","1550.00","True",""
"Custom Masala Blend","1600","1600.00","True",""
"Custom Masala Blend","1650","1650.00","True",""
"Custom Masala Blend","1700","1700.00","True",""
"Custom Masala Blend","1750","1750.00","True",""
"Custom Masala Blend","1800","1800.00","True",""
"Custom Masala Blend","1850","1850.00","True",""
"Custom Masala Blend","1900","1900.00","True",""
"Custom Masala Blend","1950","1950.00","True",""
"Custom Masala Blend","200","200.00","True",""
"Custom Masala Blend","2000","2000.00","True",""
"Custom Masala Blend","2050","2050.00","True",""
"Custom Masala Blend","2100","2100.00","True",""
"Custom Masala Blend","2150","2150.00","True",""
"Custom Masala Blend","2200","2200.00","True",""
"Custom Masala Blend","2250","2250.00","True",""
"Custom Masala Blend","2300","2300.00","True",""
"Custom Masala Blend","2350","2350.00","True",""
"Custom Masala Blend","2400","2400.00","True",""
"Custom Masala Blend","2450","2450.00","True",""
"Custom Masala Blend","250","250.00","True",""
"Custom Masala Blend","2500","2500.00","True",""
"Custom Masala Blend","2550","2550.00","True",""
"Custom Masala Blend","2600","2600.00","True",""
"Custom Masala Blend","2650","2650.00","True",""
"Custom Masala Blend","2700","2700.00","True",""
"Custom Masala Blend","2750","2750.00","True",""
"Custom Masala Blend","2800","2800.00","True",""
"Custom Masala Blend","2850","2850.00","True",""
"Custom Masala Blend","2900","2900.00","True",""
"Custom Masala Blend","2950","2950.00","True",""
"Custom Masala Blend","300","300.00","True",""
"Custom Masala Blend","3000","3000.00","True",""
"Custom Masala Blend","3050","3050.00","True",""
"Custom Masala Blend","3100","3100.00","True",""
"Custom Masala Blend","3150","3150.00","True",""
"Custom Masala Blend","3200","3200.00","True",""
"Custom Masala Blend","3250","3250.00","True",""
"Custom Masala Blend","3300","3300.00","True",""
"Custom Masala Blend","3350","3350.00","True",""
"Custom Masala Blend","3400","3400.00","True",""
"Custom Masala Blend","3450","3450.00","True",""
"Custom Masala Blend","350","350.00","True",""
"Custom Masala Blend","3500","3500.00","True",""
"Custom Masala Blend","3550","3550.00","True",""
"Custom Masala Blend","3600","3600.00","True",""
"Custom Masala Blend","3650","3650.00","True",""
"Custom Masala Blend","3700","3700.00","True",""
"Custom Masala Blend","3750","3750.00","True",""
"Custom Masala Blend","3800","3800.00","True",""
"Custom Masala Blend","3850","3850.00","True",""
"Custom Masala Blend","3900","3900.00","True",""
"Custom Masala Blend","3950","3950.00","True",""
"Custom Masala Blend","400","400.00","True",""
"Custom Masala Blend","4000","4000.00","True",""
"Custom Masala Blend","4050","4050.00","True",""
"Custom Masala Blend","4100","4100.00","True",""
"Custom Masala Blend","4150","4150.00","True",""
"Custom Masala Blend","4200","4200.00","True",""
"Custom Masala Blend","4250","4250.00","True",""
"Custom Masala Blend","4300","4300.00","True",""
"Custom Masala Blend","4350","4350.00","True",""
"Custom Masala Blend","4400","4400.00","True",""
"Custom Masala Blend","4450","4450.00","True",""
"Custom Masala Blend","450","450.00","True",""
